,position,time,temperature
0,0.0,0.0,1.0
1,0.0,0.01,0.9995065603657316
2,0.0,0.02,0.9980267284282716
3,0.0,0.03,0.99556196460308
4,0.0,0.04,0.9921147013144779
5,0.0,0.05,0.9876883405951378
6,0.0,0.06,0.9822872507286887
7,0.0,0.07,0.9759167619387474
8,0.0,0.08,0.9685831611286311
9,0.0,0.09,0.9602936856769431
10,0.0,0.1,0.9510565162951535
11,0.0,0.11,0.9408807689542255
12,0.0,0.12,0.9297764858882515
13,0.0,0.13,0.9177546256839811
14,0.0,0.14,0.9048270524660195
15,0.0,0.15,0.8910065241883679
16,0.0,0.16,0.8763066800438636
17,0.0,0.17,0.8607420270039436
18,0.0,0.18,0.8443279255020151
19,0.0,0.19,0.8270805742745618
20,0.0,0.2,0.8090169943749475
21,0.0,0.21,0.7901550123756904
22,0.0,0.22,0.7705132427757893
23,0.0,0.23,0.7501110696304596
24,0.0,0.24,0.7289686274214116
25,0.0,0.25,0.7071067811865476
26,0.0,0.26,0.6845471059286886
27,0.0,0.27,0.6613118653236518
28,0.0,0.28,0.6374239897486896
29,0.0,0.29,0.6129070536529766
30,0.0,0.3,0.5877852522924731
31,0.0,0.31,0.5620833778521306
32,0.0,0.32,0.5358267949789965
33,0.0,0.33,0.5090414157503712
34,0.0,0.34,0.48175367410171516
35,0.0,0.35000000000000003,0.4539904997395468
36,0.0,0.36,0.42577929156507266
37,0.0,0.37,0.39714789063478056
38,0.0,0.38,0.3681245526846781
39,0.0,0.39,0.3387379202452915
40,0.0,0.4,0.30901699437494745
41,0.0,0.41000000000000003,0.2789911060392293
42,0.0,0.42,0.24868988716485496
43,0.0,0.43,0.2181432413965427
44,0.0,0.44,0.18738131458572474
45,0.0,0.45,0.15643446504023092
46,0.0,0.46,0.12533323356430426
47,0.0,0.47000000000000003,0.09410831331851428
48,0.0,0.48,0.06279051952931353
49,0.0,0.49,0.031410759078128396
50,0.0,0.5,6.123233995736766e-17
51,0.0,0.51,-0.03141075907812828
52,0.0,0.52,-0.0627905195293134
53,0.0,0.53,-0.09410831331851438
54,0.0,0.54,-0.12533323356430437
55,0.0,0.55,-0.15643446504023104
56,0.0,0.56,-0.18738131458572482
57,0.0,0.5700000000000001,-0.21814324139654256
58,0.0,0.58,-0.24868988716485463
59,0.0,0.59,-0.27899110603922916
60,0.0,0.6,-0.30901699437494734
61,0.0,0.61,-0.33873792024529137
62,0.0,0.62,-0.368124552684678
63,0.0,0.63,-0.39714789063478045
64,0.0,0.64,-0.4257792915650727
65,0.0,0.65,-0.4539904997395467
66,0.0,0.66,-0.48175367410171543
67,0.0,0.67,-0.5090414157503713
68,0.0,0.68,-0.5358267949789969
69,0.0,0.6900000000000001,-0.5620833778521307
70,0.0,0.7000000000000001,-0.587785252292473
71,0.0,0.71,-0.6129070536529763
72,0.0,0.72,-0.6374239897486897
73,0.0,0.73,-0.6613118653236517
74,0.0,0.74,-0.6845471059286887
75,0.0,0.75,-0.7071067811865475
76,0.0,0.76,-0.7289686274214113
77,0.0,0.77,-0.7501110696304596
78,0.0,0.78,-0.7705132427757891
79,0.0,0.79,-0.7901550123756904
80,0.0,0.8,-0.8090169943749473
81,0.0,0.81,-0.8270805742745619
82,0.0,0.8200000000000001,-0.8443279255020151
83,0.0,0.8300000000000001,-0.8607420270039438
84,0.0,0.84,-0.8763066800438634
85,0.0,0.85,-0.8910065241883678
86,0.0,0.86,-0.9048270524660194
87,0.0,0.87,-0.9177546256839811
88,0.0,0.88,-0.9297764858882513
89,0.0,0.89,-0.9408807689542255
90,0.0,0.9,-0.9510565162951535
91,0.0,0.91,-0.9602936856769431
92,0.0,0.92,-0.9685831611286311
93,0.0,0.93,-0.9759167619387474
94,0.0,0.9400000000000001,-0.9822872507286887
95,0.0,0.9500000000000001,-0.9876883405951377
96,0.0,0.96,-0.9921147013144778
